WeekLog18:Questions(25-07-13),SpanFromLeft
问题数:22;有回答的问题:17;回答数:32;总支持：19.;平均回答数：1.45455,SpanFromLeft,SpanFromLeft
Question ID,Post Date,Answers,Answer Support,Question Title
{}[[1]],2013-07-23,4,"{"9", "2", "1", "0"}",果壳的用户的在各专业的分布是什么样的呢？
{}[[1]],2013-07-23,4,"{"1", "0", "0", "0"}",《阿凡达》中纳美人的辫子在跟其他的物种链接做接口的时候，就那么随便一接，上行下行不会有冲突么？
{}[[1]],2013-07-24,3,"{"0", "0", "0"}",为什么普通手枪在水下发射时会出现一连串的气泡，而且起泡会坍缩？
{}[[1]],2013-07-24,3,"{"0", "0", "0"}",蛋糕店爆炸：煤气在什么情况下会发生爆炸？
{}[[1]],2013-07-23,3,"{"0", "0", "0"}",太空激光通信的实现有哪些难点？
{}[[1]],1小时前,2,"{"0", "0"}",用丝袜看彩虹：这是什么原理呢？
{}[[1]],2013-07-24,2,"{"0", "0"}",程序员的“鄙视链”：这种层级多大程度上是靠谱的？为什么？
{}[[1]],2013-07-24,2,"{"0", "0"}",我们所知道的最古老的词语有哪些？
{}[[1]],35分钟前,1,{"0"},为什么熟鸡蛋容易转起来，生鸡蛋不容易转起来？
{}[[1]],1小时前,1,{"0"},为什么可以用水龙头做出一串串的丸子？
{}[[1]],2013-07-24,1,{"0"},如何才能安全快速的挤上拥挤的公共交通工具？
{}[[1]],2013-07-23,1,{"0"},电子显微镜下的 H7N9 照片：电子显微镜是如何工作的？
{}[[1]],2013-07-23,1,{"1"},物理学和社会学有什么关系？
{}[[1]],2013-07-23,1,{"0"},触屏设备太过风靡，涂层原料已近干涸：这是真的么？
{}[[1]],2013-07-22,1,{"2"},有哪些适合手机上用的天文软件（可以看星图或者天象等等）？
{}[[1]],2013-07-22,1,{"1"},在 MOOC 里如何才能看到字幕？
{}[[1]],2013-07-22,1,{"2"},MOOC 课程的证书是什么？如何才能拿到证书？
{}[[1]],50分钟前,0,{},为什么吹气球的时候气球是热的，放气的时候是冷的？
{}[[1]],58分钟前,0,{},当把硬币放在对折的硬纸上，然后展开纸的时候，为什么硬币不会掉下来？
{}[[1]],今天,0,{},15岁少女的发明：用手握着就能发电的手电筒是什么原理？
{}[[1]],2013-07-24,0,{},为什么有工作的美国人去工作的时候使用公共交通的人比例这么小？
{}[[1]],2013-07-23,0,{},年轻太阳系附近的雪线：这里的水、二氧化碳、甲烷、一氧化碳等是如何形成的呢？
