用户：橡胶万岁:回答问题(29-05-13),SpanFromLeft
总回答数：998； 总支持数：1936； 总反对数：154；平均支持数1.93988；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
414160,2012-12-21,50,0,Hyperlink["「一个水龙头一秒钟漏一滴水，一年就漏掉360吨水。」这个说法正确吗？在地球上，1滴水究竟能多大？", "http://www.guokr.com/answer/414160/redirect/"]
464889,2013-04-03,39,1,Hyperlink["为什么检测出H7N9要20天，证明它与黄浦江死猪无关却只用1天？", "http://www.guokr.com/answer/464889/redirect/"]
404981,2012-12-09,31,0,Hyperlink["大家在看果壳问答里的答案时会不会受粪叉的影响？", "http://www.guokr.com/answer/404981/redirect/"]
415960,2012-12-24,31,2,Hyperlink["圣诞节送苹果是哪的风俗啊？", "http://www.guokr.com/answer/415960/redirect/"]
405769,2012-12-10,26,9,Hyperlink["餐桌上为什么一定要敬酒？敬酒和敬茶、敬可乐、敬紫菜汤到底有什么不同？", "http://www.guokr.com/answer/405769/redirect/"]
472399,2013-04-18,21,1,Hyperlink["民间机构3天前就已“预报”大理地震，通过分析云南地震局官网数据得出的预报信息。这真的能做到吗？", "http://www.guokr.com/answer/472399/redirect/"]
405949,2012-12-11,20,3,Hyperlink["基尼系数如果是0或者是1的话，社会应该是什么样子？", "http://www.guokr.com/answer/405949/redirect/"]
419368,2012-12-28,20,0,Hyperlink["猫真的会吃主人的尸体吗？", "http://www.guokr.com/answer/419368/redirect/"]
451480,2013-02-28,20,3,Hyperlink["请问为何核电较少在地广人稀或内陆地区呢？国外有什么例子么？有什么利弊呢？", "http://www.guokr.com/answer/451480/redirect/"]
487921,2013-05-16,20,0,Hyperlink["出去活动看上一个大一妹纸，肿么破！我都研究僧了啊啊啊啊！！！", "http://www.guokr.com/answer/487921/redirect/"]
431362,2013-01-14,19,3,Hyperlink["火车票实行站票半价合理么？", "http://www.guokr.com/answer/431362/redirect/"]
156964,2012-04-20,18,0,Hyperlink["三藏法师去取经为什么不不选择近路却像故意一样绕远呢？回程的路明显比去程近很多", "http://www.guokr.com/answer/156964/redirect/"]
363807,2012-10-20,18,0,Hyperlink["和菜头停新浪微博，认为在微博时代，已经”没法读书了“，你怎么看这个事件？", "http://www.guokr.com/answer/363807/redirect/"]
408932,2012-12-14,18,0,Hyperlink["关于信用卡的问题，一直很好奇一年刷六次免年费的话，那么银行是怎么赚信用卡使用者的钱的呢？还有这个6次是怎么来的？", "http://www.guokr.com/answer/408932/redirect/"]
245792,2012-06-23,17,1,Hyperlink["果壳网应该塑造什么样的用户价值观？", "http://www.guokr.com/answer/245792/redirect/"]
377689,2012-11-06,17,0,Hyperlink["Wi-Fi究竟应该怎么念？", "http://www.guokr.com/answer/377689/redirect/"]
437260,2013-01-22,17,0,Hyperlink["有什么事情是在一个国家非常平常，但对外国人来说就不可思议的吗？比如说瑞士70%多的人是租房住。", "http://www.guokr.com/answer/437260/redirect/"]
467422,2013-04-08,17,1,Hyperlink["请问为何中国政府债务超30万亿不算高？多高才算债务危机呢？为何欧日都相继爆发呢？各国的地方政府会破产的么？", "http://www.guokr.com/answer/467422/redirect/"]
410332,2012-12-16,16,0,Hyperlink["想成为科学达人，可总是忍不住看小说玩手机，不愿学习，怎么办？", "http://www.guokr.com/answer/410332/redirect/"]
433242,2013-01-16,16,0,Hyperlink["麦当劳第二杯饮料半价，经济学家许小年认为，是消费者的边际效用递减，第二杯饮料带来的满足感低于第一杯，什么是边际效用递减？许小年这个说法有道理吗？", "http://www.guokr.com/answer/433242/redirect/"]
392599,2012-11-23,15,1,Hyperlink["为什么感觉越底层的民众越关心政治和战争？", "http://www.guokr.com/answer/392599/redirect/"]
477412,2013-04-26,15,0,Hyperlink["金融和经济的区别在哪里？", "http://www.guokr.com/answer/477412/redirect/"]
473847,2013-04-20,14,0,Hyperlink["捡到了2000个过期的安全套，能做什么用呢？", "http://www.guokr.com/answer/473847/redirect/"]
292153,2012-07-26,13,0,Hyperlink["如果你给果壳网loading页面写一句文案，你会写什么？", "http://www.guokr.com/answer/292153/redirect/"]
432299,2013-01-15,13,1,Hyperlink["一个非常终极的问题，一个人为什么要去参加一个不能来参加自己葬礼的家伙的葬礼呢？", "http://www.guokr.com/answer/432299/redirect/"]
471006,2013-04-15,13,0,Hyperlink["最近黄金和白银价格狂跌是肿么回事？", "http://www.guokr.com/answer/471006/redirect/"]
477217,2013-04-25,13,1,Hyperlink["“没有买卖就没有杀害”，这话对于野生动物保护真的行之有效吗？", "http://www.guokr.com/answer/477217/redirect/"]
479802,2013-05-01,13,0,Hyperlink["为什么果壳首页总弄些成年旧帖？", "http://www.guokr.com/answer/479802/redirect/"]
412825,2012-12-20,12,1,Hyperlink["我们要怎样说谎&圆谎，才能让所有2012年12月21号之后出生的孩纸们相信我们存活了一场浩劫？", "http://www.guokr.com/answer/412825/redirect/"]
428902,2013-01-10,12,0,Hyperlink["老妈陷进直销了，怎样解救她？", "http://www.guokr.com/answer/428902/redirect/"]
440932,2013-01-31,12,0,Hyperlink["“少油、少盐、少味精”的情况下怎么能把菜做好吃？", "http://www.guokr.com/answer/440932/redirect/"]
453117,2013-03-05,12,0,Hyperlink["超市是根据什么来决定什么产品进行降价促销呢，吃的喝的什么的，可能是因为生产日期，但是其他一些耐用品呢？", "http://www.guokr.com/answer/453117/redirect/"]
491450,2013-05-23,12,0,Hyperlink["你见过的果壳成就最NB的是谁？@Ta出来吧！", "http://www.guokr.com/answer/491450/redirect/"]
373559,2012-11-01,11,0,Hyperlink["期货到底是什么概念，鸡蛋等各种日常食用品都可以出期货吗？", "http://www.guokr.com/answer/373559/redirect/"]
427347,2013-01-09,11,1,Hyperlink["人人上那个小黄鸡是怎么实现的？", "http://www.guokr.com/answer/427347/redirect/"]
156571,2012-04-20,10,0,Hyperlink["自造了几个谚语，俗语，成语的Parody，请大家集思广益，看能否造出更多的？", "http://www.guokr.com/answer/156571/redirect/"]
364583,2012-10-21,10,0,Hyperlink["历史、地理、政治、国内外时事，为什么要去了解？", "http://www.guokr.com/answer/364583/redirect/"]
375530,2012-11-04,10,0,Hyperlink["如果大家吃饭都不浪费了，也不公款吃喝了，是否贫困人群吃不饱饭就解决了呢，还是说根本不会有帮助？", "http://www.guokr.com/answer/375530/redirect/"]
456300,2013-03-14,10,0,Hyperlink["大学生未经批准私自聚餐会受处分的规定合理吗？", "http://www.guokr.com/answer/456300/redirect/"]
467538,2013-04-09,10,0,Hyperlink["为什么撒切尔夫人叫“铁娘子”呢？为什么不叫“钻石娘子”呢，不更霸气吗？", "http://www.guokr.com/answer/467538/redirect/"]
476514,2013-04-24,10,7,Hyperlink["哪些人会恨果壳网？", "http://www.guokr.com/answer/476514/redirect/"]
482994,2013-05-07,10,0,Hyperlink["请问为何单反、无反（LCD成像或半透镜技术）、旁轴一般都不带微距模式，而卡片机却自带呢？", "http://www.guokr.com/answer/482994/redirect/"]
258968,2012-07-01,9,0,Hyperlink["中国话费算高吗？为什么如此高？", "http://www.guokr.com/answer/258968/redirect/"]
370808,2012-10-29,9,0,Hyperlink["有没有人分享下追学姐的方法？", "http://www.guokr.com/answer/370808/redirect/"]
380701,2012-11-09,9,1,Hyperlink["有什么商品近十年来没有涨价？", "http://www.guokr.com/answer/380701/redirect/"]
401771,2012-12-05,9,0,Hyperlink["中国现代婚礼的习俗都是怎么来的？", "http://www.guokr.com/answer/401771/redirect/"]
