用户：C.CristataX:回答问题(18-07-13),SpanFromLeft
总回答数：148； 总支持数：148； 总反对数：148；平均支持数1.；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
{},2012-03-04,1,1,Hyperlink["（穿越向）那些回到古代杀人于无形的毒物，古人不知道的？", "http://www.guokr.com/answer/106299/redirect/"]
{},2012-03-07,1,1,Hyperlink["学习行为是先天性行为还是后天性行为？", "http://www.guokr.com/answer/108123/redirect/"]
{},2012-03-11,1,1,Hyperlink["刻舟求剑这寓言为什么都没交待好就结束了？", "http://www.guokr.com/answer/113521/redirect/"]
{},2012-03-12,1,1,Hyperlink["男性为什么有乳头？", "http://www.guokr.com/answer/114904/redirect/"]
{},2012-03-13,1,1,Hyperlink["赤壁一战乃秋冬时节，为何无故起风东南？", "http://www.guokr.com/answer/115574/redirect/"]
{},2012-03-13,1,1,Hyperlink["儿子学习不好，这和他小时候摔到地上过有关系吗？", "http://www.guokr.com/answer/115579/redirect/"]
{},2012-03-13,1,1,Hyperlink["如果高帅和富只能选一个，到底选什么好？", "http://www.guokr.com/answer/115580/redirect/"]
{},2012-03-13,1,1,Hyperlink["果壳达人里的那些三国人物ID是怎么回事？", "http://www.guokr.com/answer/115581/redirect/"]
{},2012-03-18,1,1,Hyperlink["剑鞘内部怎么清洗？", "http://www.guokr.com/answer/120139/redirect/"]
{},2012-03-18,1,1,Hyperlink["人为什么要活着？", "http://www.guokr.com/answer/120141/redirect/"]
{},2012-03-20,1,1,Hyperlink["真的有人体自焚这种事情吗？", "http://www.guokr.com/answer/122943/redirect/"]
{},2012-03-24,1,1,Hyperlink["宿舍里有人用三棱军刺怎么办", "http://www.guokr.com/answer/126243/redirect/"]
{},2012-03-25,1,1,Hyperlink["果壳ER们大都是干什么职业的？年龄都在多大呢？", "http://www.guokr.com/answer/126557/redirect/"]
{},2012-03-29,1,1,Hyperlink["为什么要叫妹纸？", "http://www.guokr.com/answer/130217/redirect/"]
{},2012-04-03,1,1,Hyperlink["新浪微博能评论之后，你最想说的是什么？", "http://www.guokr.com/answer/135307/redirect/"]
{},2012-04-07,1,1,Hyperlink["亚洲鲤鱼和中华绒螯蟹为什么在中国没有泛滥呢？", "http://www.guokr.com/answer/139532/redirect/"]
