用户：tangcubibi:回答问题(27-05-13),SpanFromLeft
总回答数：138； 总支持数：188； 总反对数：11；平均支持数1.36232；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
464289,2013-04-02,27,0,Hyperlink["在果壳，有哪些与“胸”有关的精彩问答？", "http://www.guokr.com/answer/464289/redirect/"]
462571,2013-03-29,19,0,Hyperlink["这块巧克力为什么切开后多了一块？", "http://www.guokr.com/answer/462571/redirect/"]
382562,2012-11-12,17,0,Hyperlink["究竟什么是三原色？", "http://www.guokr.com/answer/382562/redirect/"]
432130,2013-01-15,13,0,Hyperlink["为什么大家都在讨论PM2.5，而不是PM2，或者PM3？PM2.5对人体危害最大吗？", "http://www.guokr.com/answer/432130/redirect/"]
406991,2012-12-12,7,2,Hyperlink["熊猫为什么叫panda，是胖的音译吗？", "http://www.guokr.com/answer/406991/redirect/"]
426188,2013-01-07,7,0,Hyperlink["在生活中，你所遇到的最差的设计是什么？\n", "http://www.guokr.com/answer/426188/redirect/"]
443201,2013-02-06,6,2,Hyperlink["为什么叫“除夕”，不是应该叫“除年”吗？", "http://www.guokr.com/answer/443201/redirect/"]
382506,2012-11-12,5,0,Hyperlink["虚数的物理意义", "http://www.guokr.com/answer/382506/redirect/"]
416333,2012-12-25,5,0,Hyperlink["平安夜吃苹果是中国人发明的吗？ 仅仅因为谐音？", "http://www.guokr.com/answer/416333/redirect/"]
426157,2013-01-07,5,0,Hyperlink["除了人之外还有什么动物会主动追求辣的感觉?", "http://www.guokr.com/answer/426157/redirect/"]
432889,2013-01-16,5,0,Hyperlink["RGB是用红绿蓝来模拟自然界的光混合出无数的颜色，那么自然界无数的色光是由三种单色混合出来的，还是本身存在无数种单色光？", "http://www.guokr.com/answer/432889/redirect/"]
388857,2012-11-19,4,0,Hyperlink["怎样做好 Presentation？", "http://www.guokr.com/answer/388857/redirect/"]
431440,2013-01-14,4,0,Hyperlink["没有卷尺怎么量自己的身高？", "http://www.guokr.com/answer/431440/redirect/"]
481170,2013-05-03,4,0,Hyperlink["离职时，悄悄地走比较好，还是写一封煽情的离职邮件比较好？", "http://www.guokr.com/answer/481170/redirect/"]
427724,2013-01-09,3,0,Hyperlink["集中供暖的热能是如何产生的，又是如何输送的，最后是如何在大家家中发热起来的呢？这种与开空调（制热）相比，哪种效果好，哪种成本低呢？", "http://www.guokr.com/answer/427724/redirect/"]
382639,2012-11-12,2,0,Hyperlink["愿望能够改变现实吗？量子学小白求大神给通俗讲解", "http://www.guokr.com/answer/382639/redirect/"]
382714,2012-11-12,2,0,Hyperlink["如何把气味收集起来？", "http://www.guokr.com/answer/382714/redirect/"]
389035,2012-11-19,2,1,Hyperlink["为什么每次趴桌子睡觉之后都会胀气打嗝？", "http://www.guokr.com/answer/389035/redirect/"]
391782,2012-11-22,2,0,Hyperlink["饱腹感是如何产生的", "http://www.guokr.com/answer/391782/redirect/"]
