用户：Ent:回答问题(29-05-13),SpanFromLeft
总回答数：308； 总支持数：6023； 总反对数：144；平均支持数19.5552；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
200450,2012-05-27,211,3,Hyperlink["男女在一起，牵一牵手就会怀孕吗？", "http://www.guokr.com/answer/200450/redirect/"]
278627,2012-07-17,181,9,Hyperlink["为什么小肥鸟喜欢排排坐？", "http://www.guokr.com/answer/278627/redirect/"]
434636,2013-01-18,123,1,Hyperlink["为什么发型对一个人的形象会有很大的影响？", "http://www.guokr.com/answer/434636/redirect/"]
434800,2013-01-18,91,5,Hyperlink["如果可以选一个，且只能选一个，萌和长腿你们会选哪一个？", "http://www.guokr.com/answer/434800/redirect/"]
435681,2013-01-20,90,2,Hyperlink["大脑为什么要长在头上？", "http://www.guokr.com/answer/435681/redirect/"]
276231,2012-07-14,84,1,Hyperlink["如何才能融入果壳这个社区？", "http://www.guokr.com/answer/276231/redirect/"]
238754,2012-06-20,81,1,Hyperlink["为什么我在书店里看的到的《十万个为什么》从来都没有十万个为什么？", "http://www.guokr.com/answer/238754/redirect/"]
207903,2012-06-01,78,2,Hyperlink["恐龙要是放在现在可以存活吗？", "http://www.guokr.com/answer/207903/redirect/"]
215579,2012-06-07,74,0,Hyperlink["这是什么动物，为何会让人有心痛的感觉，楚楚可怜的外形是宠物为了得到更多的宠爱而进化出来的吗？", "http://www.guokr.com/answer/215579/redirect/"]
224185,2012-06-12,74,3,Hyperlink["人类是善于长途奔跑的动物吗？", "http://www.guokr.com/answer/224185/redirect/"]
412399,2012-12-19,74,1,Hyperlink["我们要怎样说谎&圆谎，才能让所有2012年12月21号之后出生的孩纸们相信我们存活了一场浩劫？", "http://www.guokr.com/answer/412399/redirect/"]
407774,2012-12-13,73,0,Hyperlink["半人马的生殖器到底在前面还是后面？有女性半人马吗？", "http://www.guokr.com/answer/407774/redirect/"]
167512,2012-04-29,72,3,Hyperlink["猫有天敌吗？", "http://www.guokr.com/answer/167512/redirect/"]
272451,2012-07-12,69,0,Hyperlink["为什么看到秒针的时候总觉得它暂停了一会儿呢？", "http://www.guokr.com/answer/272451/redirect/"]
491411,2013-05-23,67,0,Hyperlink["霸王龙超短的两只前爪是做什么的？", "http://www.guokr.com/answer/491411/redirect/"]
201361,2012-05-28,66,2,Hyperlink["为什么外星人多被描写成章鱼？", "http://www.guokr.com/answer/201361/redirect/"]
181666,2012-05-11,65,3,Hyperlink["如果打仗，你的专业可以做什么？", "http://www.guokr.com/answer/181666/redirect/"]
436133,2013-01-21,65,1,Hyperlink["为什么学霸总是爱撒谎说没复习好？", "http://www.guokr.com/answer/436133/redirect/"]
208492,2012-06-02,60,0,Hyperlink["斑马可以骑吗？", "http://www.guokr.com/answer/208492/redirect/"]
378645,2012-11-07,58,0,Hyperlink["李彦宏的公开信说恐龙踩到东西要几个小时才反应过来，这是真的吗？", "http://www.guokr.com/answer/378645/redirect/"]
489200,2013-05-19,55,0,Hyperlink["为什么鱼的骨头是尖的？", "http://www.guokr.com/answer/489200/redirect/"]
262689,2012-07-04,53,2,Hyperlink["《敬畏自然》—漏洞百出的伪科学文章登上人教课本？", "http://www.guokr.com/answer/262689/redirect/"]
357567,2012-10-11,52,0,Hyperlink["千年以后我们就长成这样了？", "http://www.guokr.com/answer/357567/redirect/"]
400086,2012-12-03,52,1,Hyperlink["有哪些电子游戏可以被称为真正的艺术品？", "http://www.guokr.com/answer/400086/redirect/"]
246631,2012-06-24,51,2,Hyperlink["为什么北极没有企鹅？", "http://www.guokr.com/answer/246631/redirect/"]
205682,2012-05-31,49,0,Hyperlink["为什么自然界没有蓝色的果实？", "http://www.guokr.com/answer/205682/redirect/"]
