用户：时见疏星:回答问题(29-05-13),SpanFromLeft
总回答数：113； 总支持数：693； 总反对数：3；平均支持数6.13274；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
493037,2013-05-26,43,0,Hyperlink["温度有没有一个最高值？", "http://www.guokr.com/answer/493037/redirect/"]
458840,2013-03-20,32,1,Hyperlink["一个苹果的引力能改变光的方向吗？", "http://www.guokr.com/answer/458840/redirect/"]
463182,2013-03-31,31,0,Hyperlink["如果能量是守恒的，那么启动宇宙的最初的能量是哪来的？", "http://www.guokr.com/answer/463182/redirect/"]
456875,2013-03-15,28,1,Hyperlink["怎么快捷地向人解释相对论？", "http://www.guokr.com/answer/456875/redirect/"]
471860,2013-04-17,27,0,Hyperlink["为什么刚睡醒时还记得的梦，很快就会把细节忘掉？", "http://www.guokr.com/answer/471860/redirect/"]
470839,2013-04-15,25,0,Hyperlink["为什么宇航员不能在太空中流泪？", "http://www.guokr.com/answer/470839/redirect/"]
455756,2013-03-12,24,0,Hyperlink["我们如何得知自己处在银河系的什么位置？", "http://www.guokr.com/answer/455756/redirect/"]
462626,2013-03-29,22,0,Hyperlink["果壳问答有哪些关于《三体》的好问题？", "http://www.guokr.com/answer/462626/redirect/"]
468768,2013-04-11,22,0,Hyperlink["量子反常霍尔效应是什么意思，它有什么作用？", "http://www.guokr.com/answer/468768/redirect/"]
491534,2013-05-23,22,0,Hyperlink["窗帘能制作可以使用的降落伞吗？", "http://www.guokr.com/answer/491534/redirect/"]
459316,2013-03-21,21,0,Hyperlink["天文照片 false color 照片上色有没有什么约定俗成的规则？", "http://www.guokr.com/answer/459316/redirect/"]
467549,2013-04-09,21,0,Hyperlink["如果有一个内表面是光滑镜面的球壳，一个人呆在球里面会看到什么？", "http://www.guokr.com/answer/467549/redirect/"]
476996,2013-04-25,21,0,Hyperlink["你所学的专业中，有哪些特别有效的分析和解决问题的方法？", "http://www.guokr.com/answer/476996/redirect/"]
461652,2013-03-27,20,0,Hyperlink["太阳系周围有些什么东西？", "http://www.guokr.com/answer/461652/redirect/"]
458117,2013-03-18,14,0,Hyperlink["水流倒流是怎么回事？还能够旋转起来，原理究竟是怎么样的呢？有物理帝解释下么？", "http://www.guokr.com/answer/458117/redirect/"]
481224,2013-05-03,13,0,Hyperlink["任意图形都能用函数形式表示出来么?", "http://www.guokr.com/answer/481224/redirect/"]
460733,2013-03-25,12,0,Hyperlink["我一年只上1天班？  下边这个算法的谬误之处在哪里啊？", "http://www.guokr.com/answer/460733/redirect/"]
483315,2013-05-07,12,0,Hyperlink["如果核聚变只能是平均核子质量变小，那么我们宇宙中的铁以上的重元素是怎么来的呢？", "http://www.guokr.com/answer/483315/redirect/"]
455760,2013-03-12,11,1,Hyperlink["Einstein 的广义相对论一定是对的么？", "http://www.guokr.com/answer/455760/redirect/"]
470824,2013-04-15,11,0,Hyperlink["果壳有哪些跟欧拉有关的内容？", "http://www.guokr.com/answer/470824/redirect/"]
482578,2013-05-06,11,0,Hyperlink["关于系外行星（Exoplanet）有哪些有用的网站？", "http://www.guokr.com/answer/482578/redirect/"]
482811,2013-05-06,11,0,Hyperlink["计算韩国小姐脸相似度的算法是什么？", "http://www.guokr.com/answer/482811/redirect/"]
482571,2013-05-06,10,0,Hyperlink["系外行星（Exoplanet）的主要的发现手段是什么？", "http://www.guokr.com/answer/482571/redirect/"]
482778,2013-05-06,10,0,Hyperlink["某个星座的流星雨是什么意思？", "http://www.guokr.com/answer/482778/redirect/"]
466728,2013-04-07,9,0,Hyperlink["vim 到底好在哪里？", "http://www.guokr.com/answer/466728/redirect/"]
469140,2013-04-12,9,0,Hyperlink["在海军军舰上有的挂了一大排旗，有点像万国旗，它们是什么？", "http://www.guokr.com/answer/469140/redirect/"]
487324,2013-05-15,9,0,Hyperlink["孪生素数猜想是什么？它在数学上有怎样的意义？", "http://www.guokr.com/answer/487324/redirect/"]
486831,2013-05-14,8,0,Hyperlink["你所知道的具有警示性的实验室事故有哪些？", "http://www.guokr.com/answer/486831/redirect/"]
487067,2013-05-14,8,0,Hyperlink["物理学中的作用量是什么意思？", "http://www.guokr.com/answer/487067/redirect/"]
456558,2013-03-14,7,0,Hyperlink["如果建造长度伸出太阳系的太空电梯，岂不是以步行的速度就能逃出《三体》黑域？", "http://www.guokr.com/answer/456558/redirect/"]
458120,2013-03-18,7,0,Hyperlink["为什么无线电波频率的高低与发射者被定位的可能性有关？", "http://www.guokr.com/answer/458120/redirect/"]
461184,2013-03-26,7,0,Hyperlink["《三体》2中章北海太空猎杀场景中隔五千米击中目标人物的难度有多大？", "http://www.guokr.com/answer/461184/redirect/"]
461982,2013-03-28,7,0,Hyperlink["为什么我们现在的主流的宇宙理论是宇宙大爆炸学说？", "http://www.guokr.com/answer/461982/redirect/"]
462077,2013-03-28,7,0,Hyperlink["如何才能改变宇宙的命运？", "http://www.guokr.com/answer/462077/redirect/"]
477602,2013-04-26,7,0,Hyperlink["我是一个内向的人，有哪些果壳的问答是跟我相关的呢？", "http://www.guokr.com/answer/477602/redirect/"]
468591,2013-04-11,6,0,Hyperlink["如果人类的屁和天然气一样易燃，今天的世界会是怎样？", "http://www.guokr.com/answer/468591/redirect/"]
484927,2013-05-10,6,0,Hyperlink["夏天来了，网上不少帖子说穿红色衣服更能吸收紫外线，因为红色光波离紫外线是可见光中最远的，这种说法貌似有理，求真相？", "http://www.guokr.com/answer/484927/redirect/"]
459624,2013-03-22,5,0,Hyperlink["什么是微波背景辐射？", "http://www.guokr.com/answer/459624/redirect/"]
461876,2013-03-28,5,0,Hyperlink["哪一句话可以概括你中意学科的特点？", "http://www.guokr.com/answer/461876/redirect/"]
461991,2013-03-28,5,0,Hyperlink["研究宇宙学有意义么？", "http://www.guokr.com/answer/461991/redirect/"]
472385,2013-04-18,5,0,Hyperlink["做网页适应屏幕有多难？", "http://www.guokr.com/answer/472385/redirect/"]
455543,2013-03-12,4,0,Hyperlink["真实的宇宙恐怕并不是我们看（观察）到的或（/和）推断出的景象吧？", "http://www.guokr.com/answer/455543/redirect/"]
456443,2013-03-14,4,0,Hyperlink["暗能量是什么东西？", "http://www.guokr.com/answer/456443/redirect/"]
469355,2013-04-12,4,0,Hyperlink["为什么数独题的数字摆放都是中心对称的（不知道用“都”合适不合适，起码我手里的都是）？为了美观还是为了确保没有无限解？", "http://www.guokr.com/answer/469355/redirect/"]
471341,2013-04-16,4,0,Hyperlink["双相情感障碍是什么，属于精神问题吗？", "http://www.guokr.com/answer/471341/redirect/"]
486992,2013-05-14,4,0,Hyperlink["如果每个概念仅限200字，你能够解释清楚哪些自己专业的概念呢？", "http://www.guokr.com/answer/486992/redirect/"]
487376,2013-05-15,4,0,Hyperlink["果壳有哪些与太空天气（太阳风暴等）有关的好问答？", "http://www.guokr.com/answer/487376/redirect/"]
455584,2013-03-12,3,0,Hyperlink["引力常量的测量有是不是忽略了周围的东西？", "http://www.guokr.com/answer/455584/redirect/"]
456816,2013-03-15,3,0,Hyperlink["笔记本键盘能不能改成带灯的？", "http://www.guokr.com/answer/456816/redirect/"]
461591,2013-03-27,3,0,Hyperlink["如何简洁明了的解释太阳系的结构？", "http://www.guokr.com/answer/461591/redirect/"]
461999,2013-03-28,3,0,Hyperlink["引力波的速度是多少？", "http://www.guokr.com/answer/461999/redirect/"]
465588,2013-04-05,3,0,Hyperlink["绝对零度是永远不可能达到的吗？", "http://www.guokr.com/answer/465588/redirect/"]
467800,2013-04-09,3,0,Hyperlink["《安德的游戏》中有哪些很奇异的科技？", "http://www.guokr.com/answer/467800/redirect/"]
469294,2013-04-12,3,0,Hyperlink["钢铁侠中自创新元素靠谱么？", "http://www.guokr.com/answer/469294/redirect/"]
471238,2013-04-16,3,0,Hyperlink["银行卡等其他储值卡和手机放在一起是否会消磁，如果会安全距离是多少？", "http://www.guokr.com/answer/471238/redirect/"]
478727,2013-04-28,3,0,Hyperlink["小行星上的资源真的很多么？", "http://www.guokr.com/answer/478727/redirect/"]
483786,2013-05-08,3,0,Hyperlink["各个国家的法定结婚年龄是什么样的？", "http://www.guokr.com/answer/483786/redirect/"]
455612,2013-03-12,2,0,Hyperlink["为什么扔飞刀拿的是刀刃？", "http://www.guokr.com/answer/455612/redirect/"]
456464,2013-03-14,2,0,Hyperlink["听《三体2》的时候想起一问题：“云天明和云天河什么关系？”", "http://www.guokr.com/answer/456464/redirect/"]
456523,2013-03-14,2,0,Hyperlink["《三体Ⅲ》中相对论导致的时间变慢怎么理解？", "http://www.guokr.com/answer/456523/redirect/"]
459500,2013-03-22,2,0,Hyperlink["宇宙微波背景辐射会对影响人们的身体健康么？", "http://www.guokr.com/answer/459500/redirect/"]
461720,2013-03-27,2,0,Hyperlink["XKCD的1190号漫画《Time》改如何理解？", "http://www.guokr.com/answer/461720/redirect/"]
