WeekLog18:Answers(25-07-13),SpanFromLeft
总回答数：10； 总支持数：35； 总反对数：1；平均支持数3.5；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
528985,2013-07-23,9,0,Hyperlink["果壳的用户的在各专业的分布是什么样的呢？", {"http://www.guokr.com/question/487012/"}]
528731,2013-07-23,9,0,Hyperlink["在果壳，有哪些与 MOOC 有关的精彩问答？", {"http://www.guokr.com/question/486891/"}]
530184,今天,6,0,Hyperlink["牛顿的物理理论和现代物理理论有什么关系？", {"http://www.guokr.com/question/486658/"}]
528764,2013-07-23,4,0,Hyperlink["可以完整的说一下现在主流的宇宙的演化史么？", {"http://www.guokr.com/question/485099/"}]
529677,2013-07-24,3,0,Hyperlink["哈勃定律说到：河外星系退行速度同距离的比值，它是一个常数，为何偏偏就是定值了？", {"http://www.guokr.com/question/486985/"}]
530212,2小时前,1,0,Hyperlink["平静的湖水中，石头激起的波纹为什么圆形的？", {"http://www.guokr.com/question/482657/"}]
528701,2013-07-23,1,0,Hyperlink["物理学和社会学有什么关系？", {"http://www.guokr.com/question/486876/"}]
528113,2013-07-22,1,0,Hyperlink["如果在c站选了一门不太喜欢的课怎么办？", {"http://www.guokr.com/question/486397/"}]
{},{}[[1]],1,1,Hyperlink[{}[[1]], {}]
529340,2013-07-24,0,0,Hyperlink["我们所知道的最古老的词语有哪些？", {"http://www.guokr.com/question/487138/"}]
